Opening Price,Closing Price,Low Price,Bounce Price,Decline Weeks,Bounce Weeks,Bounce ?,26 Week Close,ROI
21.79,18.19,14.31,16.64,4,2,1,23.58,1.417067308
17.13,14.18,4.99,6.7,24,1,1,5.16,0.770149254
11.9,5.75,2.52,3.65,21,3,1,7.17,1.964383562
13.58,7.87,4.93,5.76,22,4,1,7.60,1.319444444
11.73,9.52,1.83,2.82,24,2,1,6.72,2.382978723
23.87,19.21,12.67,15.42,25,2,1,11.66,0.75616083
16.24,12.81,12.67,15.42,17,2,1,11.66,0.75616083
17,12.67,10.58,13.37,18,3,1,10.53,0.787584144
12.69,10.58,5.82,8.84,23,1,1,10.34,1.169683258
12,8.98,6.67,7.82,21,6,1,7.21,0.922421142
19.86,13.78,13.23,16.64,6,1,1,24.55,1.475360577
18.53,13.23,13.23,16.64,0,1,1,24.55,1.475360577
22.55,17.33,15.85,19.08,12,1,1,20.45,1.071802935
19.5,14.04,8.09,10.18,13,2,1,20.91,2.054027505
20.45,17.31,8.09,10.18,8,2,1,20.91,2.054027505
54.81,46.4,36.61,42.11,12,1,1,48.06,1.141296604
15.02,11.75,4.75,5.8,23,1,1,10.43,1.798275862
10.16,7.35,4.75,5.8,16,1,1,10.43,1.798275862
10.64,9,8.84,10.18,2,1,1,15.84,1.555992141
12.32,10.42,7.48,9.06,5,3,1,8.77,0.96799117
10.59,8.78,5.4,6.8,19,1,1,1.85,0.272058824
45.25,36.5,36.5,43.89,0,1,1,45.34,1.033037138
10.84,9.18,2.55,2.98,21,1,1,3.61,1.211409396
14.5,11.66,9.52,11.62,4,7,1,13.13,1.129948365
180.75,97.54,20.27,23.75,26,2,1,21.52,0.906105263
117,93.57,17.9,23.75,20,1,1,23.14,0.974315789
98.31,82.13,13,18.54,26,3,1,25.57,1.379180151
27,22.1,13,18.54,7,3,1,25.57,1.379180151
25.95,21.82,13,18.54,2,3,1,25.57,1.379180151
30,21.52,20.85,24.76,8,1,1,53.12,2.1453958
73.8,62.53,46.55,55.9,11,1,1,88.84,1.589266547
56.38,46.89,46.55,55.9,2,1,1,88.84,1.589266547
91.33,76.46,51.17,65.21,8,2,1,68.16,1.045161785
75.78,57.84,51.17,65.21,1,2,1,68.16,1.045161785
43.72,36.49,17.63,23.53,25,3,1,23.02,0.978325542
36.25,28.85,15.68,19.71,20,3,1,25.05,1.270928463
13.76,10.94,4.3,5.29,25,4,1,3.08,0.582230624
19.33,15.19,15.19,24.02,0,1,1,24.90,1.036636137
15.91,9.92,7.9,11.42,2,2,1,14.30,1.252189142
63.41,52.53,42.4,49.61,22,4,1,60.53,1.220116912
110.57,52.75,46.77,55.46,3,4,1,65.01,1.172196177
27.35,23.06,23.06,28.08,0,6,1,69.40,2.471509972
55.8,44.83,13.54,19.19,17,1,1,31.81,1.657634184
40.01,29.13,13.54,19.19,9,1,1,31.81,1.657634184
32.55,27.43,23.49,27.75,3,1,1,44.88,1.617297297
69.9,54.2,48.02,57.1,7,3,1,88.26,1.545709282
155.53,72.88,31.89,38.63,13,1,1,46.30,1.198550349
56.46,40.98,31.89,38.63,2,1,1,46.30,1.198550349
28.05,22.71,17.46,22.54,9,1,1,48.72,2.161490683
50.88,42.85,29.2,35.24,21,1,1,57.24,1.624290579
22.23,18.39,7.61,11.98,8,1,1,16.14,1.347245409
14.75,12.31,9.51,11.1,8,2,1,14.69,1.322972973
16.48,13.22,11.62,13.66,20,10,1,13.55,0.991947291
11.76,9.8,7.89,9.45,18,3,1,14.11,1.493121693
32.09,22.97,19.23,22.49,4,1,1,25.76,1.145397955
79.39,66.31,39.3,49.58,17,1,1,74.54,1.503428802
72.99,56.7,39.3,49.58,10,1,1,74.54,1.503428802
64.68,53.41,47.76,55.05,3,2,1,93.83,1.7044505
390.44,316.98,243,292.52,13,9,1,366.25,1.252051142
288.94,243,243,292.52,0,9,1,366.25,1.252051142
128.1,59.18,42.92,51.18,2,4,1,66.32,1.295818679
58,46.03,19.34,22.52,23,1,1,46.87,2.081261101
108.6,92.26,79.91,97.84,2,4,1,122.07,1.247649223
75.25,63.05,40.91,54.93,11,1,1,52.02,0.947023484
60.99,51.36,49.11,58.28,13,8,1,65.47,1.123369938
89.01,74.51,71.55,83.7,17,10,1,92.99,1.110991637
11.72,9.09,9.09,10.76,0,5,1,12.22,1.135687732
21.3,16.98,15.5,19.86,1,4,1,18.03,0.907854985
118.4,59.85,59.85,70.25,0,4,1,64.97,0.924839858
74,62.9,55.97,64.75,22,11,1,61.79,0.954285714
63.03,50.68,50.68,58.64,0,6,1,75.67,1.290416098
29.64,24.85,22.8,27.02,2,1,1,24.47,0.905625463
25.42,20.85,8.51,9.94,21,2,1,18.99,1.910462777
13.85,10.84,7.35,8.57,21,1,1,9.66,1.127187865
10.66,8.78,7.35,8.57,15,1,1,9.66,1.127187865
42.71,36.23,28.35,33.96,21,3,1,46.25,1.361896349
43.25,35.4,21.21,25.37,24,1,1,32.34,1.274733938
27.73,22.94,18.57,22.17,6,1,1,35.47,1.599909788
26.49,21.51,21.51,27.86,0,3,1,39.57,1.420315865
76.56,62.01,40.52,61,6,2,1,65.88,1.08
47.75,40.52,40.52,61,0,2,1,65.88,1.08
64.15,53.56,51.54,65.26,3,7,1,91.59,1.403463071
23.23,18.44,14.85,19.04,8,1,1,29.30,1.538865546
21.25,14.85,14.85,19.04,0,1,1,29.30,1.538865546
32.83,26.19,18.81,24.41,2,1,1,21.88,0.896353953
12.51,10.15,9.14,11.1,21,2,1,15.51,1.397297297
11.63,9.74,9.14,11.1,1,2,1,15.51,1.397297297
43.57,33.83,17.64,23.3,20,1,1,34.98,1.501287554
12.25,10.23,10.23,12.5,0,5,1,18.12,1.4496
17.85,15.03,6.81,8.51,23,4,1,22.82,2.680963572
28.33,22.98,15.8,19.22,16,10,1,22.76,1.184183143
86.74,69.1,28.3,36.37,12,1,1,36.34,0.999175144
52.37,40.56,27.9,34.16,22,4,1,34.40,1.007025761
42.39,35.28,27.9,34.16,15,4,1,34.40,1.007025761
42.16,35.39,30.55,38.3,8,2,1,44.00,1.148825065
32.29,25.82,11.75,15.25,26,2,1,16.06,1.053114754
19,15.92,11.75,15.25,19,2,1,16.06,1.053114754
18.79,15.74,11.75,15.25,7,2,1,16.06,1.053114754
17.85,14.67,13.65,16.42,2,4,1,16.40,0.998781973
16.72,13.74,3.28,4.49,23,3,1,2.39,0.532293987
12.02,8.86,3.28,4.49,16,3,1,2.39,0.532293987
11.35,9.63,6.52,7.58,24,1,1,6.14,0.810026385
11.97,10.1,6.08,7.26,26,17,1,8.87,1.22107438
11.74,9.61,4.1,4.83,21,1,1,8.31,1.720496894
12.03,9.99,4.1,4.83,16,1,1,8.31,1.720496894
25.34,19.99,11.07,12.81,20,1,1,20.41,1.593286495
20.43,16.47,11.07,12.81,10,1,1,20.41,1.593286495
13.4,11.07,11.07,12.81,0,1,1,20.41,1.593286495
17.3,14.56,7.3,8.96,14,2,1,6.11,0.681361607
12,10.13,4.31,5.18,13,2,1,10.03,1.936293436
17.15,11.96,10.28,13.22,7,3,1,15.83,1.197428139
37.11,30.28,22.01,26.56,6,1,1,29.40,1.106927711
23.59,18.68,6.25,7.23,20,1,1,7.65,1.058091286
10.38,7.57,7.22,8.42,4,5,1,8.44,1.002375297
14.07,10.24,2.86,3.46,10,1,1,8.77,2.534682081
10.6,8.5,6.55,7.82,6,3,1,8.11,1.037084399
28.33,22.95,17,20.98,16,6,1,26.56,1.265967588
22.75,17.95,17,20.98,1,6,1,26.56,1.265967588
24.15,20.08,12.89,16.01,26,1,1,21.90,1.367895066
12.05,10,9.49,11.67,6,3,1,17.21,1.474721508
11.25,9.49,9.49,11.67,0,3,1,17.21,1.474721508
17.02,13.33,10.5,13.37,8,2,1,15.40,1.151458489
12.36,10.5,10.5,13.37,1,2,1,15.40,1.151458489
22.82,19.34,18.92,22.15,13,5,1,22.16,1.000451467
36.02,28.73,22.62,27.82,16,3,1,35.87,1.289360173
29.06,24.41,22.62,27.82,1,3,1,35.87,1.289360173
36.07,29.47,23.2,26.94,25,2,1,17.40,0.645879733
19.83,15.05,11.96,14.61,21,1,1,18.00,1.232032854
19.21,15.63,11.96,14.61,16,1,1,18.00,1.232032854
20.24,16.66,11.25,13.46,15,2,1,8.65,0.642644874
12.13,10.26,7.93,9.81,7,1,1,16.42,1.673802243
25.15,19,18.67,21.53,1,7,1,25.12,1.166744078
30.45,25.07,23.57,27.45,25,14,1,28.67,1.044444444
21.02,16.13,12.98,15.07,9,7,1,19.46,1.291307233
15.75,8.64,8.43,10.32,22,1,1,7.67,0.743217054
14.67,11.55,4.63,6.12,22,1,1,8.18,1.336601307
15.72,13.07,11.81,13.98,6,3,1,31.49,2.252503577
52.77,44.66,15.21,18.4,23,22,1,20.91,1.136413043
53.26,41.72,13.99,17.21,22,2,1,23.94,1.390761185
26.52,21.41,13.99,17.21,9,2,1,23.94,1.390761185
46.19,38.04,29.16,35.4,17,4,1,50.61,1.429661017
69.21,58.54,29.16,35.4,6,4,1,50.61,1.429661017
10.45,8.69,7.01,8.95,2,3,1,14.71,1.643575419
17.7,13.16,12.13,14.12,1,8,1,14.71,1.041784703
17.6,14.26,12.45,14.71,3,1,1,17.01,1.15635622
22.99,19.4,6.45,8.92,22,1,1,11.92,1.33632287
26.2,21.15,19.07,22.22,5,3,1,21.62,0.9729973
13.03,10.92,10.55,12.46,26,8,1,6.96,0.55858748
17.25,14.17,9.62,11.13,22,1,1,7.88,0.707996406
15.46,13.04,4.34,6.87,26,1,1,9.01,1.311499272
13.6,11.07,4.34,6.87,7,1,1,9.01,1.311499272
12.38,10,8.5,9.9,9,1,1,12.17,1.229292929
28.84,23.04,15.83,18.59,21,3,1,25.90,1.393222162
29.37,24.69,24.69,28.51,0,4,1,30.33,1.06383725
28.59,22.83,7.36,9.53,15,1,1,16.02,1.681007345
20.44,15.4,7.36,9.53,7,1,1,16.02,1.681007345
12.45,9.09,7.36,9.53,1,1,1,16.02,1.681007345
19.76,16.03,11.5,14.3,8,2,1,18.36,1.283916084
14.09,11.87,11.5,14.3,1,2,1,18.36,1.283916084
10.07,8.26,6.4,8.32,2,1,1,6.72,0.807692308
40.45,30,30,37,0,1,1,42.25,1.141891892
22.99,17.56,12.21,14.56,16,1,1,26.85,1.844093407
15.59,12.57,11.5,13.83,8,9,1,15.95,1.153289949
14.21,11.52,10.14,13.25,4,3,1,8.24,0.621886792
11.15,9.28,2,2.42,24,8,1,1.55,0.640495868
10.66,8.59,8.38,10.18,4,2,1,39.80,3.909626719
40.72,33.27,31.37,36.6,1,1,1,42.71,1.166939891
53.63,44.97,22.91,27,9,2,1,33.16,1.228148148
37.72,22.91,22.91,27,0,2,1,33.16,1.228148148
43.95,36.45,19.33,22.37,15,5,1,18.28,0.817165847
29.98,24.7,19.33,22.37,6,5,1,18.28,0.817165847
16.36,12.21,12.21,14.13,0,1,1,16.50,1.167728238
16.34,12.76,12.76,15.05,0,1,1,24.32,1.615946844
15.37,12.9,12.9,15.28,0,2,1,21.99,1.439136126
10.37,8.61,6.87,8.01,7,3,1,9.89,1.234706617
49.18,41.25,26.8,31.48,21,2,1,44.90,1.426302414
45.56,38.22,35.78,41.61,21,5,1,44.35,1.065849555
132.99,107.99,102.43,119.77,4,9,1,106.78,0.891542122
121.53,60.63,50.6,60.03,9,10,1,83.64,1.393303348
11.39,9.037,9.037,10.6,0,1,1,12.60,1.188679245
15.62,13.23,12.05,13.99,15,4,1,13.39,0.957112223
11.04,7.37,7.2,8.6,6,1,1,12.00,1.395348837
14.59,12.3,9.15,10.76,20,6,1,13.44,1.249070632
20.07,16.94,13.89,17.8,25,6,1,25.61,1.438764045
10.86,8.99,6.86,8.33,9,3,1,10.92,1.31092437
11.27,8.85,7,8.25,9,2,1,10.68,1.294545455
11.93,9.49,5.89,7.83,20,3,1,6.90,0.881226054
24.38,20.72,19.78,22.85,3,1,1,27.69,1.211816193
27.18,22.78,12.4,15.77,7,1,1,21.08,1.336715282
19.2,15.41,14.31,17.76,1,3,1,23.33,1.313626126
35.56,29.8,28.18,33.34,21,11,1,37.36,1.120575885
66.11,32.28,30.36,35,9,11,1,38.73,1.106571429
27.46,16.9,0.87,1.77,22,1,1,3.57,2.016949153
14.88,11.1,9.02,11.33,2,2,1,13.66,1.20564872
11.52,8.66,7.29,10.1,1,2,1,16.93,1.676237624
13.04,9.9,8.6,10.49,21,3,1,13.15,1.2535653
10.73,8.99,8.6,10.49,15,3,1,13.15,1.2535653
13.04,8.98,7.93,9.24,21,1,1,12.99,1.405844156
10.64,8.32,7.93,9.24,15,1,1,12.99,1.405844156
11.19,9.3,7.93,9.24,2,1,1,12.99,1.405844156
74.36,60.92,57,66.43,1,1,1,68.40,1.029655276
23.86,18.39,17.26,21.37,6,1,1,25.16,1.177351427
23.04,17.26,17.26,21.37,0,1,1,25.16,1.177351427
16.22,10.69,7.47,10.13,2,1,1,13.35,1.31786772
13.36,11.33,3.5,4.74,24,1,1,6.00,1.265822785
46.59,38.8,12.79,16.45,20,1,1,30.30,1.841945289
19.15,14.91,12.79,16.45,1,1,1,30.30,1.841945289
47.16,40.02,37.51,45.44,9,3,1,46.29,1.018705986
34.4,25.34,19.76,24.27,3,3,1,38.88,1.60197775
78.03,53.07,51.76,61.64,1,3,1,70.55,1.144548994
12.58,9.9,8.88,10.75,6,1,1,12.59,1.171162791
11,8.88,8.88,10.75,0,1,1,12.59,1.171162791
16.25,13.26,13.26,16.36,0,1,1,17.09,1.044621027
11.38,9.22,8.21,10.19,6,1,1,10.83,1.062806673
11.5,8.21,8.21,10.19,0,1,1,10.83,1.062806673
35.6,27.57,19.16,22.57,16,2,1,21.84,0.967656181
14.67,10.98,7.07,8.23,21,2,1,13.88,1.686512758
10.98,8.6,7.07,8.23,15,2,1,13.88,1.686512758
10.23,8.66,7.07,8.23,2,2,1,13.88,1.686512758
97.76,50.53,50.53,58.23,0,8,1,65.94,1.132405976
83.31,64.17,63.21,72.94,1,16,1,64.27,0.88113518
118.24,96.16,83.35,97.07,5,5,1,117.56,1.211084784
10.61,8.15,7.13,8.98,6,1,1,9.91,1.103563474
22.76,19.24,16.75,20.38,2,4,1,22.80,1.118743867
22.6,18.72,10.85,14.93,25,2,1,18.83,1.261219022
14.94,11.55,10.85,14.93,6,2,1,18.83,1.261219022
24.49,19.57,12.61,16.45,25,2,1,14.95,0.90881459
18.48,15.49,12.61,16.45,11,2,1,14.95,0.90881459
13.82,10.79,6.25,7.71,26,24,1,10.14,1.315175097
10.47,8.2,4.5,5.5,16,8,1,4.94,0.898181818
13.61,11.36,11.36,13.21,0,7,1,15.92,1.205147615
75.2,61.34,35.76,41.9,12,2,1,70.86,1.691169451
42.41,35.76,35.76,41.9,0,2,1,70.86,1.691169451
23.12,15.75,2.55,3.39,21,1,1,16.24,4.790560472
13.05,10.47,2.55,3.39,6,1,1,16.24,4.790560472
25.97,21.94,20.49,25.51,10,7,1,29.23,1.145825167
22.44,18.48,6.7,8.47,22,1,1,9.82,1.159386068
13.1,10.75,6.7,8.47,11,1,1,9.82,1.159386068
14.5,11.27,7.93,9.79,23,1,1,12.78,1.305413687
31.25,25.61,20.85,24.28,14,2,1,20.30,0.836079077
16.8,14.02,12.99,15.35,7,1,1,11.83,0.770684039
28.63,22.6,19.37,22.63,24,3,1,15.94,0.704153778
23.99,19.21,10.09,13.12,22,1,1,21.56,1.643292683
25.76,21.06,21.06,24.32,0,7,1,24.04,0.988486842
33.42,21.55,20.79,24.07,10,7,1,20.57,0.854590777
20,15.71,14.85,19.3,26,17,1,20.71,1.073056995
17.89,14.85,14.6,19.3,4,13,1,19.17,0.993264249
136,114.65,40.56,50.33,20,1,1,68.39,1.358831711
91.3,72.2,40.56,50.33,7,1,1,68.39,1.358831711
17.25,10.83,9.5,11.42,6,1,1,14.03,1.22854641
14.95,12.5,9.5,11.42,1,1,1,14.03,1.22854641
34.49,26.9,20.05,24.44,21,1,1,36.43,1.490589198
16.04,13.5,13.5,15.6,0,1,1,15.83,1.01474359
