Opening Price,Closing Price,Low Price,Bounce Price,Decline Bucket,Bounce Bucket,26 Week Close,ROI,ROI Bucket
45.43,37.34,28.78,33.85,5,5,36.90,1.09,3
38.36,30.28,27.19,31.82,4,4,37.34,1.17,4
38.28,32.47,26.3,35.97,4,2,46.38,1.29,5
48.58,40,38.39,45.55,2,3,46.53,1.02,3
47.4,40.04,35.96,42.9,3,3,51.37,1.20,4
15.83,10,9.15,12.15,5,1,14.98,1.23,5
13.47,10.6,9.15,12.15,4,1,14.98,1.23,5
11.54,9.15,9.15,12.15,1,1,14.98,1.23,5
17.89,14.5,14.5,16.77,1,4,17.65,1.05,3
47.31,32.74,32,38.29,4,5,40.80,1.07,3
12.45,9.55,9.55,12.31,1,1,14.40,1.17,4
12.37,9.1518,9.1518,10.814,1,1,12.29,1.14,4
11.59,9.75,9.5,11.1,2,1,12.90,1.16,4
10.93,8.3587,7.16,8.54,4,2,11.59,1.36,6
15.5,12.85,12.7,15.75,4,3,15.07,0.96,3
18.88,14.91,7.42,8.89,5,1,14.59,1.64,7
14.78,11.99,7.42,8.89,4,1,14.59,1.64,7
18.51,15.16,7.05,9.44,2,1,10.43,1.10,4
50.35,42.49,37.69,43.35,4,1,64.92,1.50,6
69.5,57.03,53.25,63.97,2,3,74.26,1.16,4
20.26,16.2916,15.99,18.66,4,2,22.34,1.20,4
13.45,10.1,10.1,11.63,4,1,13.41,1.15,4
16.5,12.13,11.16,12.9,3,1,15.54,1.20,5
14.01,11.16,11.16,12.9,1,1,15.54,1.20,5
69.6,54.97,26.27,31.29,5,1,39.09,1.25,5
31.7,26.27,26.27,31.29,1,1,39.09,1.25,5
18.39,15.57,14.18,16.33,4,2,25.71,1.57,7
16.69,14.18,14.18,16.33,1,2,25.71,1.57,7
21.15,17.79,13.07,16.73,4,3,19.42,1.16,4
18.82,14.98,13.07,16.73,2,3,19.42,1.16,4
25.07,20.23,17.44,21,4,2,24.06,1.15,4
15.64,9.77,8.41,10.77,2,2,10.61,0.99,3
14.57,10.6,10.6,12.51,1,1,14.23,1.14,4
11.85,8.27,8.27,10.24,1,1,12.26,1.20,4
51.68,42.56,41.39,48.3,1,2,54.03,1.12,4
30.79,24.98,22.76,26.66,5,2,45.53,1.71,7
55.2,13.72,11.78,13.64,3,3,15.08,1.11,4
45.68,38.08,17.66,22.63,4,1,27.39,1.21,5
37.13,29.61,17.41,20.81,5,1,30.73,1.48,6
36.11,29.3,12.76,14.77,5,2,11.75,0.80,2
25.79,21.42,12.18,14.02,5,4,20.48,1.46,6
20.45,14.53,10.17,12.58,5,2,13.37,1.06,3
14.33,7.36,6.87,7.97,1,4,14.67,1.84,7
10.02,7.17,7.11,8.63,4,2,10.53,1.22,5
10.82,7.31,6.14,7.61,3,2,8.80,1.16,4
19.12,14.77,13.75,17.25,5,3,9.46,0.55,1
16.66,10.49,1.95,2.72,5,2,5.89,2.17,8
21.45,17.42,15.18,18.3,5,1,31.60,1.73,7
22.86,18.89,15.18,18.3,3,1,31.60,1.73,7
81.04,68.47,59.89,70.86,3,2,83.84,1.18,4
108,55.02,53.7,62.1,3,4,60.91,0.98,3
36.92,31.07,29.08,35,1,3,33.02,0.94,3
14.56,7.99,3.96,4.87,5,1,13.60,2.79,8
10.71,8.73,8.73,10.39,1,1,14.05,1.35,6
15.94,13.42,12.13,13.98,4,3,11.15,0.80,2
16.98,13.6,11.64,13.95,2,3,15.97,1.14,4
12.05,9.32,8.3,9.81,5,2,12.19,1.24,5
25.92,20.02,16.64,19.41,5,2,22.71,1.17,4
17.7,14,12.81,14.75,5,2,12.81,0.87,2
14.72,12.4,3.29,4.4,5,1,9.38,2.13,8
11.36,9.65,3.1,4.03,5,1,9.84,2.44,8
11.94,9.48,7.36,9.51,5,2,12.70,1.34,5
10.92,7.36,7.36,9.51,1,2,12.70,1.34,5
13.83,10.32,9.75,11.62,4,3,11.00,0.95,3
11.71,9.92,2.23,3.17,5,1,2.18,0.69,1
54.25,46.09,35.42,45.55,4,3,29.81,0.65,1
27.01,21.79,19.6,22.6799,2,3,34.09,1.50,7
27.82,19.91,14.6,16.89,3,3,18.41,1.09,3
34.99,29.65,22.05,25.68,5,1,38.12,1.48,6
51.5,40.75,32.5,38.68,5,2,51.56,1.33,5
28.01,22.5,22.18,29.93,2,1,31.29,1.05,3
15.51,13.11,8.36,10.69,4,2,16.81,1.57,7
19.33,16.04,14.14,16.55,2,3,21.04,1.27,5
21.79,18.19,14.31,16.64,3,2,23.58,1.42,6
17.13,14.18,4.99,6.7,5,1,5.16,0.77,2
11.9,5.75,2.52,3.65,5,2,7.17,1.96,7
13.58,7.87,4.93,5.76,5,3,7.60,1.32,5
11.73,9.52,1.83,2.82,5,2,6.72,2.38,8
23.87,19.21,12.67,15.42,5,2,11.66,0.76,2
16.24,12.81,12.67,15.42,5,2,11.66,0.76,2
17,12.67,10.58,13.37,5,2,10.53,0.79,2
12.69,10.58,5.82,8.84,5,1,10.34,1.17,4
12,8.98,6.67,7.82,5,3,7.21,0.92,3
19.86,13.78,13.23,16.64,3,1,24.55,1.48,6
18.53,13.23,13.23,16.64,1,1,24.55,1.48,6
22.55,17.33,15.85,19.08,4,1,20.45,1.07,3
19.5,14.04,8.09,10.18,4,2,20.91,2.05,8
20.45,17.31,8.09,10.18,4,2,20.91,2.05,8
54.81,46.4,36.61,42.11,4,1,48.06,1.14,4
15.02,11.75,4.75,5.8,5,1,10.43,1.80,7
10.16,7.35,4.75,5.8,5,1,10.43,1.80,7
10.64,9,8.84,10.18,2,1,15.84,1.56,7
12.32,10.42,7.48,9.06,3,2,8.77,0.97,3
10.59,8.78,5.4,6.8,5,1,1.85,0.27,1
45.25,36.5,36.5,43.89,1,1,45.34,1.03,3
10.84,9.18,2.55,2.98,5,1,3.61,1.21,5
14.5,11.66,9.52,11.62,3,3,13.13,1.13,4
180.75,97.54,20.27,23.75,5,2,21.52,0.91,3
117,93.57,17.9,23.75,5,1,23.14,0.97,3
98.31,82.13,13,18.54,5,2,25.57,1.38,6
27,22.1,13,18.54,3,2,25.57,1.38,6
25.95,21.82,13,18.54,2,2,25.57,1.38,6
30,21.52,20.85,24.76,4,1,53.12,2.15,8
73.8,62.53,46.55,55.9,4,1,88.84,1.59,7
56.38,46.89,46.55,55.9,2,1,88.84,1.59,7
91.33,76.46,51.17,65.21,4,2,68.16,1.05,3
75.78,57.84,51.17,65.21,1,2,68.16,1.05,3
43.72,36.49,17.63,23.53,5,2,23.02,0.98,3
36.25,28.85,15.68,19.71,5,2,25.05,1.27,5
13.76,10.94,4.3,5.29,5,3,3.08,0.58,1
19.33,15.19,15.19,24.02,1,1,24.90,1.04,3
15.91,9.92,7.9,11.42,2,2,14.30,1.25,5
63.41,52.53,42.4,49.61,5,3,60.53,1.22,5
110.57,52.75,46.77,55.46,2,3,65.01,1.17,4
27.35,23.06,23.06,28.08,1,3,69.40,2.47,8
55.8,44.83,13.54,19.19,5,1,31.81,1.66,7
40.01,29.13,13.54,19.19,4,1,31.81,1.66,7
32.55,27.43,23.49,27.75,2,1,44.88,1.62,7
69.9,54.2,48.02,57.1,3,2,88.26,1.55,7
155.53,72.88,31.89,38.63,4,1,46.30,1.20,4
56.46,40.98,31.89,38.63,2,1,46.30,1.20,4
28.05,22.71,17.46,22.54,4,1,48.72,2.16,8
50.88,42.85,29.2,35.24,5,1,57.24,1.62,7
22.23,18.39,7.61,11.98,4,1,16.14,1.35,5
14.75,12.31,9.51,11.1,4,2,14.69,1.32,5
16.48,13.22,11.62,13.66,5,4,13.55,0.99,3
11.76,9.8,7.89,9.45,5,2,14.11,1.49,6
32.09,22.97,19.23,22.49,3,1,25.76,1.15,4
79.39,66.31,39.3,49.58,5,1,74.54,1.50,7
72.99,56.7,39.3,49.58,4,1,74.54,1.50,7
64.68,53.41,47.76,55.05,2,2,93.83,1.70,7
390.44,316.98,243,292.52,4,4,366.25,1.25,5
288.94,243,243,292.52,1,4,366.25,1.25,5
128.1,59.18,42.92,51.18,2,3,66.32,1.30,5
58,46.03,19.34,22.52,5,1,46.87,2.08,8
108.6,92.26,79.91,97.84,2,3,122.07,1.25,5
75.25,63.05,40.91,54.93,4,1,52.02,0.95,3
60.99,51.36,49.11,58.28,4,4,65.47,1.12,4
89.01,74.51,71.55,83.7,5,4,92.99,1.11,4
11.72,9.09,9.09,10.76,1,3,12.22,1.14,4
21.3,16.98,15.5,19.86,1,3,18.03,0.91,3
118.4,59.85,59.85,70.25,1,3,64.97,0.92,3
74,62.9,55.97,64.75,5,4,61.79,0.95,3
63.03,50.68,50.68,58.64,1,3,75.67,1.29,5
29.64,24.85,22.8,27.02,2,1,24.47,0.91,3
25.42,20.85,8.51,9.94,5,2,18.99,1.91,7
13.85,10.84,7.35,8.57,5,1,9.66,1.13,4
10.66,8.78,7.35,8.57,4,1,9.66,1.13,4
42.71,36.23,28.35,33.96,5,2,46.25,1.36,6
43.25,35.4,21.21,25.37,5,1,32.34,1.27,5
27.73,22.94,18.57,22.17,3,1,35.47,1.60,7
26.49,21.51,21.51,27.86,1,2,39.57,1.42,6
76.56,62.01,40.52,61,3,2,65.88,1.08,3
47.75,40.52,40.52,61,1,2,65.88,1.08,3
64.15,53.56,51.54,65.26,2,3,91.59,1.40,6
23.23,18.44,14.85,19.04,4,1,29.30,1.54,7
21.25,14.85,14.85,19.04,1,1,29.30,1.54,7
32.83,26.19,18.81,24.41,2,1,21.88,0.90,2
12.51,10.15,9.14,11.1,5,2,15.51,1.40,6
11.63,9.74,9.14,11.1,1,2,15.51,1.40,6
43.57,33.83,17.64,23.3,5,1,34.98,1.50,7
12.25,10.23,10.23,12.5,1,3,18.12,1.45,6
17.85,15.03,6.81,8.51,5,3,22.82,2.68,8
28.33,22.98,15.8,19.22,5,4,22.76,1.18,4
86.74,69.1,28.3,36.37,4,1,36.34,1.00,3
52.37,40.56,27.9,34.16,5,3,34.40,1.01,3
42.39,35.28,27.9,34.16,4,3,34.40,1.01,3
42.16,35.39,30.55,38.3,4,2,44.00,1.15,4
32.29,25.82,11.75,15.25,5,2,16.06,1.05,3
19,15.92,11.75,15.25,5,2,16.06,1.05,3
18.79,15.74,11.75,15.25,3,2,16.06,1.05,3
17.85,14.67,13.65,16.42,2,3,16.40,1.00,3
16.72,13.74,3.28,4.49,5,2,2.39,0.53,1
12.02,8.86,3.28,4.49,5,2,2.39,0.53,1
11.35,9.63,6.52,7.58,5,1,6.14,0.81,2
11.97,10.1,6.08,7.26,5,5,8.87,1.22,5
11.74,9.61,4.1,4.83,5,1,8.31,1.72,7
12.03,9.99,4.1,4.83,5,1,8.31,1.72,7
25.34,19.99,11.07,12.81,5,1,20.41,1.59,7
20.43,16.47,11.07,12.81,4,1,20.41,1.59,7
13.4,11.07,11.07,12.81,1,1,20.41,1.59,7
17.3,14.56,7.3,8.96,4,2,6.11,0.68,1
12,10.13,4.31,5.18,4,2,10.03,1.94,7
17.15,11.96,10.28,13.22,3,2,15.83,1.20,4
37.11,30.28,22.01,26.56,3,1,29.40,1.11,4
23.59,18.68,6.25,7.23,5,1,7.65,1.06,3
10.38,7.57,7.22,8.42,3,3,8.44,1.00,3
14.07,10.24,2.86,3.46,4,1,8.77,2.53,8
10.6,8.5,6.55,7.82,3,2,8.11,1.04,3
28.33,22.95,17,20.98,5,3,26.56,1.27,5
22.75,17.95,17,20.98,1,3,26.56,1.27,5
24.15,20.08,12.89,16.01,5,1,21.90,1.37,6
12.05,10,9.49,11.67,3,2,17.21,1.47,6
11.25,9.49,9.49,11.67,1,2,17.21,1.47,6
17.02,13.33,10.5,13.37,4,2,15.40,1.15,4
12.36,10.5,10.5,13.37,1,2,15.40,1.15,4
22.82,19.34,18.92,22.15,4,3,22.16,1.00,3
36.02,28.73,22.62,27.82,5,2,35.87,1.29,5
29.06,24.41,22.62,27.82,1,2,35.87,1.29,5
36.07,29.47,23.2,26.94,5,2,17.40,0.65,1
19.83,15.05,11.96,14.61,5,1,18.00,1.23,5
19.21,15.63,11.96,14.61,5,1,18.00,1.23,5
20.24,16.66,11.25,13.46,4,2,8.65,0.64,1
12.13,10.26,7.93,9.81,3,1,16.42,1.67,7
25.15,19,18.67,21.53,1,3,25.12,1.17,4
30.45,25.07,23.57,27.45,5,4,28.67,1.04,3
21.02,16.13,12.98,15.07,4,3,19.46,1.29,5
15.75,8.64,8.43,10.32,5,1,7.67,0.74,1
14.67,11.55,4.63,6.12,5,1,8.18,1.34,5
15.72,13.07,11.81,13.98,3,2,31.49,2.25,8
52.77,44.66,15.21,18.4,5,5,20.91,1.14,4
53.26,41.72,13.99,17.21,5,2,23.94,1.39,6
26.52,21.41,13.99,17.21,4,2,23.94,1.39,6
46.19,38.04,29.16,35.4,5,3,50.61,1.43,6
69.21,58.54,29.16,35.4,3,3,50.61,1.43,6
10.45,8.69,7.01,8.95,2,2,14.71,1.64,7
17.7,13.16,12.13,14.12,1,4,14.71,1.04,3
17.6,14.26,12.45,14.71,2,1,17.01,1.16,4
22.99,19.4,6.45,8.92,5,1,11.92,1.34,5
26.2,21.15,19.07,22.22,3,2,21.62,0.97,3
13.03,10.92,10.55,12.46,5,4,6.96,0.56,1
17.25,14.17,9.62,11.13,5,1,7.88,0.71,1
15.46,13.04,4.34,6.87,5,1,9.01,1.31,5
13.6,11.07,4.34,6.87,3,1,9.01,1.31,5
12.38,10,8.5,9.9,4,1,12.17,1.23,5
28.84,23.04,15.83,18.59,5,2,25.90,1.39,6
29.37,24.69,24.69,28.51,1,3,30.33,1.06,3
28.59,22.83,7.36,9.53,4,1,16.02,1.68,7
20.44,15.4,7.36,9.53,3,1,16.02,1.68,7
12.45,9.09,7.36,9.53,1,1,16.02,1.68,7
19.76,16.03,11.5,14.3,4,2,18.36,1.28,5
14.09,11.87,11.5,14.3,1,2,18.36,1.28,5
10.07,8.26,6.4,8.32,2,1,6.72,0.81,2
40.45,30,30,37,1,1,42.25,1.14,4
22.99,17.56,12.21,14.56,5,1,26.85,1.84,7
15.59,12.57,11.5,13.83,4,4,15.95,1.15,4
14.21,11.52,10.14,13.25,3,2,8.24,0.62,1
11.15,9.28,2,2.42,5,4,1.55,0.64,1
10.66,8.59,8.38,10.18,3,2,39.80,3.91,8
40.72,33.27,31.37,36.6,1,1,42.71,1.17,4
53.63,44.97,22.91,27,4,2,33.16,1.23,5
37.72,22.91,22.91,27,1,2,33.16,1.23,5
43.95,36.45,19.33,22.37,4,3,18.28,0.82,2
29.98,24.7,19.33,22.37,3,3,18.28,0.82,2
16.36,12.21,12.21,14.13,1,1,16.50,1.17,4
16.34,12.76,12.76,15.05,1,1,24.32,1.62,7
15.37,12.9,12.9,15.28,1,2,21.99,1.44,6
10.37,8.61,6.87,8.01,3,2,9.89,1.23,5
49.18,41.25,26.8,31.48,5,2,44.90,1.43,6
45.56,38.22,35.78,41.61,5,3,44.35,1.07,3
132.99,107.99,102.43,119.77,3,4,106.78,0.89,2
121.53,60.63,50.6,60.03,4,4,83.64,1.39,6
11.39,9.037,9.037,10.6,1,1,12.60,1.19,4
15.62,13.23,12.05,13.99,4,3,13.39,0.96,3
11.04,7.37,7.2,8.6,3,1,12.00,1.40,6
14.59,12.3,9.15,10.76,5,3,13.44,1.25,5
20.07,16.94,13.89,17.8,5,3,25.61,1.44,6
10.86,8.99,6.86,8.33,4,2,10.92,1.31,5
11.27,8.85,7,8.25,4,2,10.68,1.29,5
11.93,9.49,5.89,7.83,5,2,6.90,0.88,2
24.38,20.72,19.78,22.85,2,1,27.69,1.21,5
27.18,22.78,12.4,15.77,3,1,21.08,1.34,5
19.2,15.41,14.31,17.76,1,2,23.33,1.31,5
35.56,29.8,28.18,33.34,5,4,37.36,1.12,4
66.11,32.28,30.36,35,4,4,38.73,1.11,4
27.46,16.9,0.87,1.77,5,1,3.57,2.02,8
14.88,11.1,9.02,11.33,2,2,13.66,1.21,5
11.52,8.66,7.29,10.1,1,2,16.93,1.68,7
13.04,9.9,8.6,10.49,5,2,13.15,1.25,5
10.73,8.99,8.6,10.49,4,2,13.15,1.25,5
13.04,8.98,7.93,9.24,5,1,12.99,1.41,6
10.64,8.32,7.93,9.24,4,1,12.99,1.41,6
11.19,9.3,7.93,9.24,2,1,12.99,1.41,6
74.36,60.92,57,66.43,1,1,68.40,1.03,3
23.86,18.39,17.26,21.37,3,1,25.16,1.18,4
23.04,17.26,17.26,21.37,1,1,25.16,1.18,4
16.22,10.69,7.47,10.13,2,1,13.35,1.32,5
13.36,11.33,3.5,4.74,5,1,6.00,1.27,5
46.59,38.8,12.79,16.45,5,1,30.30,1.84,7
19.15,14.91,12.79,16.45,1,1,30.30,1.84,7
47.16,40.02,37.51,45.44,4,2,46.29,1.02,3
34.4,25.34,19.76,24.27,2,2,38.88,1.60,7
78.03,53.07,51.76,61.64,1,2,70.55,1.14,4
12.58,9.9,8.88,10.75,3,1,12.59,1.17,4
11,8.88,8.88,10.75,1,1,12.59,1.17,4
16.25,13.26,13.26,16.36,1,1,17.09,1.04,3
11.38,9.22,8.21,10.19,3,1,10.83,1.06,3
11.5,8.21,8.21,10.19,1,1,10.83,1.06,3
35.6,27.57,19.16,22.57,5,2,21.84,0.97,3
14.67,10.98,7.07,8.23,5,2,13.88,1.69,7
10.98,8.6,7.07,8.23,4,2,13.88,1.69,7
10.23,8.66,7.07,8.23,2,2,13.88,1.69,7
97.76,50.53,50.53,58.23,1,4,65.94,1.13,4
83.31,64.17,63.21,72.94,1,5,64.27,0.88,2
118.24,96.16,83.35,97.07,3,3,117.56,1.21,5
10.61,8.15,7.13,8.98,3,1,9.91,1.10,4
22.76,19.24,16.75,20.38,2,3,22.80,1.12,4
22.6,18.72,10.85,14.93,5,2,18.83,1.26,5
14.94,11.55,10.85,14.93,3,2,18.83,1.26,5
24.49,19.57,12.61,16.45,5,2,14.95,0.91,3
18.48,15.49,12.61,16.45,4,2,14.95,0.91,3
13.82,10.79,6.25,7.71,5,5,10.14,1.32,5
10.47,8.2,4.5,5.5,5,4,4.94,0.90,2
13.61,11.36,11.36,13.21,1,3,15.92,1.21,5
75.2,61.34,35.76,41.9,4,2,70.86,1.69,7
42.41,35.76,35.76,41.9,1,2,70.86,1.69,7
23.12,15.75,2.55,3.39,5,1,16.24,4.79,8
13.05,10.47,2.55,3.39,3,1,16.24,4.79,8
25.97,21.94,20.49,25.51,4,3,29.23,1.15,4
22.44,18.48,6.7,8.47,5,1,9.82,1.16,4
13.1,10.75,6.7,8.47,4,1,9.82,1.16,4
14.5,11.27,7.93,9.79,5,1,12.78,1.31,5
31.25,25.61,20.85,24.28,4,2,20.30,0.84,2
16.8,14.02,12.99,15.35,3,1,11.83,0.77,2
28.63,22.6,19.37,22.63,5,2,15.94,0.70,1
23.99,19.21,10.09,13.12,5,1,21.56,1.64,7
25.76,21.06,21.06,24.32,1,3,24.04,0.99,3
33.42,21.55,20.79,24.07,4,3,20.57,0.85,2
20,15.71,14.85,19.3,5,5,20.71,1.07,3
17.89,14.85,14.6,19.3,3,4,19.17,0.99,3
136,114.65,40.56,50.33,5,1,68.39,1.36,6
91.3,72.2,40.56,50.33,3,1,68.39,1.36,6
17.25,10.83,9.5,11.42,3,1,14.03,1.23,5
14.95,12.5,9.5,11.42,1,1,14.03,1.23,5
34.49,26.9,20.05,24.44,5,1,36.43,1.49,6
16.04,13.5,13.5,15.6,1,1,15.83,1.01,3
11.25,9.25,8.18,9.45,5,3,12.33,1.30,5
16.28,13.75,13.6191,15.67,2,5,14.75,0.94,3
73.2,61.99,39.9,46.8,5,1,59.09,1.26,5
38.69,30.65,22.7,26.86,4,2,37.23,1.39,6
94.86,48.9,37.6,43.7,5,2,49.59,1.13,4
57.01,47.77,36.66,43.34,4,3,32.54,0.75,2
23.07,18.68,18.68,21.6,1,2,23.94,1.11,4
27.04,22.04,10.29,12,5,1,20.18,1.68,7
17.12,13.98,10.29,12,4,1,20.18,1.68,7
18.27,13.89,6,8.63,5,1,9.73,1.13,4
17.49,13.6,6,8.63,5,1,9.73,1.13,4
16.92,13.45,1.93,2.88,5,1,13.12,4.56,8
15.46,12.55,10.22,12.89,4,2,25.04,1.94,7
12.7,10.29,10.22,12.89,3,2,25.04,1.94,7
13.03,10.22,10.22,12.89,1,2,25.04,1.94,7
20.5,15.65,11.65,13.72,4,1,19.75,1.44,6
14.72,12.48,11.65,13.72,1,1,19.75,1.44,6
17.33,13.89,13.57,16.94,1,1,23.17,1.37,6
64.9,54.08,45,53.19,4,2,59.92,1.13,4
66.07,55.48,45,53.19,2,2,59.92,1.13,4
46,38.51,22.31,25.86,5,2,31.50,1.22,5
31.8,24.56,22.31,25.86,1,2,31.50,1.22,5
36.95,30.7,30.7,35.35,1,2,43.45,1.23,5
42.94,36.49,36.49,43.12,1,2,60.48,1.40,6
47.99,24.22,4.76,6.41,5,1,7.09,1.11,4
18.13,15.17,4.76,6.41,3,1,7.09,1.11,4
507,400,322.5,386,5,3,437.27,1.13,4
11.65,9.89,9.01,10.85,2,4,12.29,1.13,4
12.95,10.27,6.34,7.47,5,2,13.47,1.80,7
