,Close,Date,Open,Ticker,Volume
0,17.25,20170616,18.17,MRC,4136417
1,10.05,20160129,9.9,MRC,10713046
2,11.35,20150821,12.84,MRC,10789077
3,11.89,20150320,12.0,MRC,14305432
4,13.97,20150109,15.17,MRC,6921785
5,17.16,20141205,20.05,MRC,14334862
6,25.91,20130823,25.55,MRC,4024900
7,26.95,20130614,27.35,MRC,5179600
8,26.74,20121228,27.29,MRC,650900
9,8.35,20081010,10.8,NVG,561601
10,11.14,20081003,11.2,NVG,302559
11,37.38,20090116,41.6,TDY,2065700
12,47.7,20080411,48.51,TDY,1718900
13,19.48,20121207,19.68,OLP,106100
14,8.78,20091231,8.55,OLP,100400
15,8.18,20091218,8.61,OLP,179400
16,2.72,20090306,2.77,OLP,371500
17,2.72,20090306,2.77,OLP,371500
18,7.91,20081121,9.61,OLP,370100
19,29.66,20161014,30.24,ETH,1438439
20,22.64,20140801,23.88,ETH,973500
21,25.81,20131018,26.09,ETH,3497400
22,25.14,20121228,25.35,ETH,913200
23,18.11,20120622,22.28,ETH,4361700
24,21.56,20120518,21.75,ETH,2142800
25,14.43,20110909,14.99,ETH,1418100
26,16.75,20110812,17.64,ETH,2778500
27,18.15,20101203,16.72,ETH,1412700
28,13.21,20100716,14.14,ETH,1346200
29,13.21,20100716,14.14,ETH,1346200
30,13.42,20091231,14.25,ETH,896300
31,11.6,20091127,12.18,ETH,1259600
32,9.96,20090515,13.0,ETH,2748400
33,7.1,20090306,9.33,ETH,2481700
34,7.1,20090306,9.33,ETH,2481700
35,7.1,20090306,9.33,ETH,2481700
36,9.54,20090227,9.7,ETH,1769200
37,12.21,20081121,15.07,ETH,3313000
38,12.21,20081121,15.07,ETH,3313000
39,23.81,20080711,23.72,ETH,4340000
40,11.14,20161104,11.77,CPN,40470962
41,12.47,20151211,12.99,CPN,25501759
42,14.14,20110211,14.57,CPN,9549500
43,10.94,20100226,11.37,CPN,12027400
44,4.95,20090306,5.48,CPN,13128900
45,6.8,20081226,7.83,CPN,6127800
46,12.99,20160916,13.01,OMAM,638778
47,13.66,20160108,15.03,OMAM,1057826
48,109.56,20150702,112.74,UTX,19357314
49,80.16,20110318,80.74,UTX,26209500
50,54.86,20081003,59.89,UTX,47338400
51,26.27,20170804,27.39,UTX,4698092
52,7.51,20160205,7.85,PAGP,21576157
53,7.5,20151218,9.03,PAGP,36892819
54,7.5,20151218,9.03,PAGP,36892819
55,24.02,20150724,24.92,PAGP,8015119
56,27.28,20140425,27.6,PAGP,2349017
57,25.78,20081017,24.85,SYY,36562100
58,10.68,20161104,11.48,SYY,1943458
59,5.0,20160108,5.77,ELP,2282622
60,5.87,20151231,6.14,ELP,1210327
61,9.88,20150313,10.48,ELP,3554110
62,11.01,20150220,11.78,ELP,4361892
63,10.8,20140314,10.65,ELP,3144985
64,10.93,20081017,10.0,ELP,4414691
65,8.77,20081010,12.62,ELP,4062646
66,7.58,20180112,7.74,ELP,1536089
67,6.13,20170818,6.35,ATEN,1933370
68,7.92,20170203,7.87,ATEN,1853540
69,4.94,20150206,4.82,ATEN,1845760
70,4.01,20141212,4.0,ATEN,1572145
71,9.56,20140926,9.93,ATEN,1473583
72,5.96,20180105,6.08,ATEN,1977161
73,4.88,20170818,5.11,CDR,2243514
74,2.81,20111007,3.07,CDR,2646700
75,3.11,20110930,3.21,CDR,1409600
76,3.74,20110812,3.8,CDR,5116700
77,5.04,20110610,5.52,CDR,2158100
78,5.67,20100702,6.24,CDR,3026500
79,5.68,20091127,5.94,CDR,442800
80,2.85,20090417,2.42,CDR,5775000
81,1.83,20090327,2.02,CDR,3577000
82,1.83,20090327,2.02,CDR,3577000
83,4.22,20081121,6.6,CDR,2334000
84,9.52,20081010,11.73,CDR,3237800
85,39.54,20101029,41.72,AIZ,4991800
86,22.42,20090327,22.13,AIZ,10582000
