,Ticker,bounceback score,close,date,lowest price,num of weeks,open,volume
3739,GGB,1,32.77,20080229,28.36,8,30.88,22111018
3740,GGB,2,30.78,20080222,24.67,4,29.08,17019195
3741,GGB,4,6.41,20081031,4.76,1,4.81,37064415
3742,GGB,4,6.41,20081031,4.76,1,4.81,37064415
3743,GGB,4,10.4,20090529,8.79,1,8.62,44738869
3744,GGB,2,15.02,20091009,11.94,5,13.76,33445444
3745,GGB,1,14.75,20110218,12.76,13,13.82,44575104
3746,GGB,2,13.99,20101231,12.07,5,13.74,19313962
3747,GGB,0,4.66,20180112,3.93,162,4.16,120408006
3748,GGB,3,1.72,20150911,1.48,2,1.65,17212081
3749,GGB,3,1.07,20160205,0.8454,2,0.9099,23982142
3750,GGB,3,1.07,20160205,0.8454,2,0.9099,23982142
3751,GGB,3,1.93,20160401,1.56,2,1.65,62255176
3752,GGB,3,2.18,20160722,1.84,2,2.07,30715745
3753,GGB,3,3.34,20161021,2.72,3,2.93,41555867
3754,NI,4,22.36,20170106,3.14,1,22.17,14042814
3755,NI,0,17.47,20100827,14.81,99,16.6,23676000
3756,NI,0,13.3,20090724,11.55,41,12.36,19038600
3757,NI,1,11.24,20090501,9.68,13,10.76,17260500
3758,NL,3,11.23,20080201,9.06,2,9.83,412900
3759,NL,1,11.83,20080404,9.83,10,10.9,245800
3760,NL,2,11.0,20081010,9.45,5,10.13,651800
3761,NL,2,11.62,20090403,9.27,5,9.7,125300
3762,NL,0,8.72,20100305,6.66,17,7.29,265100
3763,NL,1,8.17,20100723,6.93,8,6.97,275000
3764,NL,2,8.17,20100723,6.28,4,6.97,275000
3765,NL,1,16.02,20110506,13.09,13,14.25,575000
3766,NL,1,14.72,20111014,12.56,8,13.41,237000
3767,NL,2,11.65,20121228,10.1,6,11.36,101200
3768,NL,0,13.1,20171020,10.61,223,10.15,517541
3769,NL,0,13.1,20171020,10.04,181,10.15,517541
3770,NL,2,7.8,20141107,6.74,4,7.26,61433
3771,NL,2,7.8,20141107,6.74,4,7.26,61433
3772,NL,0,8.2,20161223,7.01,99,7.75,181050
3773,NL,2,4.03,20151106,3.3,6,3.48,76313
3774,NL,1,3.07,20160429,2.56,16,2.905,158043
3775,NL,2,2.85,20160304,2.08,5,2.44,245181
3776,NL,2,2.85,20160304,2.08,5,2.44,245181
3777,NL,4,2.52,20160401,2.19,1,2.18,85898
3778,NL,4,3.08,20160715,2.43,1,2.48,171304
3779,NL,3,3.76,20160826,2.91,2,3.05,230970
3780,NL,2,6.5,20170317,5.6,5,6.05,388205
3781,NL,3,8.0,20170421,6.45,3,7.05,327009
3782,ENB,4,41.13,20170915,7.2,1,40.53,9086594
3783,ENB,0,42.35,20091127,36.31,60,41.85,1338035
3784,ENB,3,34.6,20081031,29.8,3,29.76,3550502
3785,RQI,4,3.47,20081128,2.24,1,2.49,1325806
3786,RQI,4,2.09,20090313,1.65,1,1.64,1081788
3787,RQI,4,2.09,20090313,1.65,1,1.64,1081788
3788,RQI,2,4.47,20090605,3.47,5,4.0,1292688
3789,RQI,2,7.11,20100319,6.0205,4,6.83,3821049
3790,RQI,0,10.81,20120720,9.31,57,10.69,1324666
3791,TTM,4,25.36,20130614,11.1,1,25.87,7449596
3792,TTM,0,9.61,20090522,7.13,33,8.47,20219368
3793,TTM,4,4.55,20081128,3.82,1,4.09,5267386
3794,TTM,2,4.5,20090320,3.89,5,4.17,5200228
3795,TTM,2,15.72,20091218,13.66,5,15.49,5694157
3796,TTM,1,19.87,20100806,17.02,9,19.11,3431833
3797,TTM,2,27.16,20101015,23.3,4,27.1,5674925
3798,TTM,3,19.05,20120106,15.94,3,17.82,8467197
3799,TTM,0,27.47,20121221,23.43,31,26.66,7256192
3800,TTM,3,27.43,20151009,22.88,2,24.1,10563240
3801,TTM,1,28.72,20160401,24.62,8,27.31,6222120
3802,TTM,2,38.04,20170113,32.0,6,36.39,6621060
3803,UAN,1,21.22,20110610,17.88,8,20.4,1614729
3804,UAN,3,25.08,20111021,21.37,2,24.45,1158260
3805,UAN,2,27.63,20120106,21.65,6,25.1,2160340
3806,UAN,2,21.01,20140307,17.28,4,19.64,1356548
3807,UAN,3,13.79,20150220,11.31,2,11.85,1666294
3808,UAN,2,6.92,20160226,5.76,6,6.62,1505017
3809,UAN,3,6.5,20160219,5.44,3,5.27,1969480
3810,UAN,1,6.23,20161223,5.22,13,5.56,2365368
3811,UAN,3,5.04,20161118,4.2,2,4.71,1423722
3812,UAN,0,4.04,20180105,3.49,27,3.3,5937343
3813,SRC,4,7.67,20170714,3.47,1,7.48,34582872
3814,AN,4,40.74,20170505,9.42,1,42.05,7726335
3815,AN,3,9.75,20080725,8.09,2,8.21,46482400
3816,AN,4,6.87,20081031,4.43,1,4.47,15042700
3817,AN,4,10.64,20090102,8.56,1,8.65,6267600
3818,AN,1,20.69,20100108,17.99,13,19.46,10780400
3819,AN,3,37.74,20111014,32.78,2,35.09,3266400
3820,AN,0,41.82,20120907,35.77,38,40.29,2924700
3821,SOR,0,38.06,20090724,31.32,39,35.97,80738
3822,SOR,0,34.65,20090508,29.42,25,32.95,58838
3823,SOR,0,60.08,20130322,51.95,86,59.04,80396
3824,AER,3,18.86,20080201,15.07,2,15.94,5093500
3825,AER,3,18.86,20080201,15.07,2,15.94,5093500
3826,AER,0,7.32,20090717,6.34,37,6.52,1378800
3827,AER,4,4.63,20081128,2.6,1,2.27,2093300
3828,AER,4,2.8,20090313,2.09,1,2.12,2157600
3829,AER,4,3.68,20090409,2.86,1,2.89,1883000
3830,AER,3,9.51,20100226,7.9,3,8.24,2359400
3831,AER,0,14.14,20101105,11.91,26,12.93,1981100
3832,AER,0,12.58,20120203,10.77,26,11.87,1662000
3833,AER,1,12.0,20111028,9.89,10,10.95,3013700
3834,WLKP,1,28.76,20150424,24.98,13,28.56,263849
3835,WLKP,3,22.63,20150605,19.21,3,21.77,393891
3836,KND,3,11.9,20081205,9.53,2,10.4,3995300
3837,KND,3,11.9,20081205,9.53,2,10.4,3995300
3838,KND,3,15.06,20090320,12.94,2,14.48,1795100
3839,KND,0,19.05,20101217,16.07,32,16.93,3307100
3840,KND,0,17.03,20101203,14.41,26,16.15,2133800
3841,KND,3,9.61,20120427,8.01,2,7.88,7668800
3842,KND,4,9.61,20120427,8.02,1,7.88,7668800
3843,KND,2,11.51,20160304,9.7,6,10.82,9191723
3844,KND,3,10.95,20160226,8.54,2,9.01,8565491
3845,KND,2,7.75,20161209,6.55,4,6.7,5585600
3846,KND,4,7.75,20161209,6.7,1,6.7,5585600
3847,KND,4,9.7,20170421,7.75,1,7.75,10021155
3848,KND,1,8.6,20171215,7.25,13,7.9,12467440
3849,FTI,4,28.92,20171110,5.9,1,28.71,17375130
3850,FTI,2,77.85,20080509,61.81,4,68.26,11518700
3851,FTI,0,31.32,20090320,27.18,18,27.33,17433200
3852,FTI,2,66.05,20100401,55.09,6,62.15,7596200
3853,FTI,3,88.86,20101203,76.71,3,83.25,5172700
3854,FTI,0,53.18,20111202,45.71,33,48.22,13649600
3855,FTI,2,46.16,20110722,39.77,4,44.01,7590300
3856,FTI,0,61.5,20140620,53.25,44,59.05,7837500
3857,FTI,2,43.34,20150501,36.66,7,40.76,17710568
3858,JCI,4,41.97,20170505,30.13,1,41.77,22028031
3859,JCI,1,23.6,20090109,20.5,8,22.59,35336100
3860,EDD,0,16.97,20100924,14.73,115,16.81,1679669
3861,EDD,4,9.86,20081017,7.37,1,8.11,2958883
3862,EDD,4,8.6,20081128,7.2,1,7.5,1327851
3863,UNVR,4,26.49,20150626,13.46,1,27.35,2573197
3864,UNVR,2,19.94,20151106,17.18,5,17.67,2347697
3865,UNVR,0,19.43,20160603,16.68,24,18.97,1805559
3866,PLNT,0,18.71,20160610,16.24,42,17.91,1454142
3867,BAH,0,21.0,20130802,17.72,113,18.7,4218700
3868,BAH,0,17.94,20120217,15.52,27,17.75,1212000
3869,BAH,0,34.32,20161111,27.9,79,31.95,8320222
3870,KEY,2,24.68,20080418,20.94,6,23.34,28816400
3871,KEY,1,12.97,20080905,11.1,9,12.55,36873300
3872,KEY,4,9.38,20081128,6.27,1,7.0,32506300
3873,KEY,4,7.01,20090227,6.07,1,6.2,97786300
3874,KEY,4,7.7,20090313,5.36,1,5.27,71007300
3875,KEY,3,6.12,20090612,5.0,2,5.37,130103900
3876,KEY,3,6.78,20090807,5.26,2,6.0,208675000
3877,KEY,4,6.5,20100108,5.55,1,5.66,85416100
3878,KEY,0,9.45,20110204,7.77,35,8.84,58428300
3879,KEY,0,9.28,20130118,7.93,79,8.94,90987700
3880,MGF,1,6.94,20111125,6.01,14,6.84,300824
3881,MGF,1,7.21,20081128,6.11,9,7.0,457850
3882,PQ,4,9.34,20081017,5.67,1,7.82,10219500
3883,PQ,4,7.01,20081128,5.32,1,5.43,3118100
3884,PQ,4,5.71,20081212,4.68,1,4.82,7734200
3885,PQ,4,2.09,20090313,1.8,1,1.77,38899000
3886,PQ,4,2.83,20090327,2.15,1,2.34,10733600
3887,PQ,4,3.23,20090717,2.78,1,2.8,5220300
3888,PQ,3,6.33,20091218,5.39,2,5.72,7443700
3889,PQ,3,6.37,20100305,5.26,3,5.44,8002900
3890,PQ,3,5.72,20100409,4.95,3,5.28,6973700
3891,PQ,2,7.4,20100611,5.81,5,6.53,7047600
3892,PQ,3,8.49,20110211,7.25,3,7.84,5622300
3893,PQ,3,7.43,20110715,6.45,3,7.01,4396800
3894,PQ,3,7.43,20110715,6.45,3,7.01,4396800
3895,PQ,3,6.73,20111014,5.5,2,5.83,5334900
3896,PQ,3,6.73,20111014,5.5,2,5.83,5334900
3897,PQ,1,5.44,20120713,4.59,8,5.17,2677900
3898,PQ,2,6.5,20120817,5.56,4,6.26,2361400
