,Close,Date,Open,Ticker,Volume
1828,25.57,20080125,23.11,CMC,12193300
1829,24.13,20080118,27.32,CMC,9528900
1830,47.58,20100702,51.15,TMO,23943100
1831,29.73,20081121,33.72,TMO,35694300
1832,29.73,20081121,33.72,TMO,35694300
1833,2.25,20171027,2.27,TMO,15645907
1834,3.37,20170519,3.69,AVP,27894384
1835,4.26,20170324,4.4,AVP,26788016
1836,5.04,20161230,5.16,AVP,17965084
1837,3.81,20160722,4.1,AVP,19040210
1838,2.5,20160115,2.79,AVP,42864640
1839,2.5,20151113,3.2,AVP,78324528
1840,2.5,20151113,3.2,AVP,78324528
1841,3.19,20151106,4.03,AVP,78020570
1842,3.48,20150911,4.52,AVP,99564079
1843,7.47,20150116,8.16,AVP,60309616
1844,7.47,20150116,8.16,AVP,60309616
1845,9.26,20141226,9.51,AVP,24273203
1846,13.18,20140725,14.1,AVP,25798200
1847,16.58,20111209,16.92,AVP,25033800
1848,16.09,20111125,16.72,AVP,16850500
1849,26.23,20110729,28.42,AVP,17995400
1850,25.73,20100604,26.31,AVP,19080300
1851,27.51,20100514,29.83,AVP,36442700
1852,19.54,20090123,19.95,AVP,21700000
1853,19.65,20081121,22.23,AVP,30784900
1854,22.53,20081114,26.75,AVP,31260000
1855,7.69,20151113,8.16,AVP,660527
1856,9.4,20150626,9.47,RMT,707554
1857,6.87,20091127,6.95,RMT,268079
1858,4.1,20081121,5.65,RMT,824550
1859,5.65,20081114,6.58,RMT,474655
1860,11.55,20080606,12.41,RMT,278516
1861,30.15,20160129,32.2,PAYC,3762355
1862,32.0,20150731,33.47,PAYC,3134348
1863,12.48,20140718,13.05,PAYC,411700
1864,12.48,20140718,13.05,PAYC,411700
1865,13.35,20140530,14.57,PAYC,452800
1866,18.73,20120413,19.12,SEE,13510000
1867,17.81,20090626,17.7,SEE,7162300
1868,10.64,20090306,10.98,SEE,12792800
1869,18.7,20080711,19.1,SEE,8505400
1870,18.89,20080703,19.53,SEE,7568800
1871,14.05,20090227,15.51,SEE,8583100
